video_name;in_count;out_count;survivors
V403-1;2;9;10
V403-2;3;5;7
V403-3;3;3;7
V403-4;2;3;5
V403-5;1;3;5
V403-6;0;0;0
V403-7;0;0;1
V403-8;0;0;0
V403-9;0;0;0
V403-10;2;0;2
V403-11;1;0;2
V403-12;0;0;0
V403-13;0;0;2
V403-14;0;0;3
V403-15;0;0;0
V403-16;0;0;1
V403-17;0;0;0
V403-18;0;0;0
V403-19;1;0;1
V403-20;0;0;0
V403-21;1;2;4
V403-22;2;0;3
V403-23;2;0;4
V403-24;3;1;5
V403-25;4;2;9
V403-26;11;0;11
V403-27;9;1;13
V426-1;12;18;41
V426-2;3;13;21
V426-3;3;4;16
V426-4;0;7;7
V426-5;0;1;6
V426-6;0;0;0
V426-7;0;0;0
V426-8;0;1;1
V426-9;0;0;0
V426-10;0;0;0
V426-11;0;0;1
V426-12;0;0;1
V426-13;0;0;1
V426-14;0;0;0
V426-15;0;0;0
V426-16;0;0;1
V426-17;0;0;0
V426-18;0;0;0
V426-19;0;1;1
V426-20;0;0;1
V426-21;0;0;2
V426-22;0;0;0
V426-23;1;0;3
V426-24;1;0;2
V426-25;0;2;3
V426-26;0;1;1
V426-27;0;1;1
V426-28;5;1;8
V420-1;0;8;12
V420-2;2;1;7
V420-3;10;2;13
V420-4;5;0;7
V420-5;8;0;11
V420-24;0;0;2
V420-25;10;0;12
V420-26;4;5;8
V420-27;6;2;8
