video_name,min_area,min_frames,var_threshold,history,in_count,out_count,survivors,error
V403-11,50,15,12,200,0,0,63,
V403-11,50,15,12,500,0,0,61,
V403-11,50,15,18,200,0,0,45,
V403-11,50,15,18,500,0,0,49,
V403-11,50,30,12,200,0,0,27,
V403-11,50,30,12,500,0,0,44,
V403-11,50,30,18,200,0,0,26,
V403-11,50,30,18,500,0,0,39,
V403-11,100,15,12,200,0,0,22,
V403-11,100,15,12,500,0,0,28,
V403-11,100,15,18,200,0,0,21,
V403-11,100,15,18,500,0,0,20,
V403-11,100,30,12,200,0,0,13,
V403-11,100,30,12,500,0,0,18,
V403-11,100,30,18,200,0,0,13,
V403-11,100,30,18,500,0,0,16,
V403-15,50,15,12,200,1,0,47,
V403-15,50,15,12,500,1,0,87,
V403-15,50,15,18,200,1,0,42,
V403-15,50,15,18,500,1,0,56,
V403-15,50,30,12,200,1,0,23,
V403-15,50,30,12,500,1,0,48,
V403-15,50,30,18,200,1,0,20,
V403-15,50,30,18,500,1,0,35,
V403-15,100,15,12,200,1,0,18,
V403-15,100,15,12,500,0,0,40,
V403-15,100,15,18,200,1,0,15,
V403-15,100,15,18,500,1,0,21,
V403-15,100,30,12,200,1,0,11,
V403-15,100,30,12,500,0,0,27,
V403-15,100,30,18,200,1,0,7,
V403-15,100,30,18,500,1,0,19,
V403-1,50,15,12,200,2,8,594,
V403-1,50,15,12,500,2,9,625,
V403-1,50,15,18,200,2,6,724,
V403-1,50,15,18,500,2,10,755,
V403-1,50,30,12,200,2,8,51,
V403-1,50,30,12,500,2,9,79,
V403-1,50,30,18,200,2,6,47,
V403-1,50,30,18,500,2,9,59,
V403-1,100,15,12,200,2,8,314,
V403-1,100,15,12,500,2,8,333,
V403-1,100,15,18,200,2,8,379,
V403-1,100,15,18,500,2,8,410,
V403-1,100,30,12,200,2,8,42,
V403-1,100,30,12,500,2,8,61,
V403-1,100,30,18,200,2,8,35,
V403-1,100,30,18,500,2,8,48,
V403-21,50,15,12,200,1,1,281,
V403-21,50,15,12,500,6,2,1137,
V403-21,50,15,18,200,1,1,137,
V403-21,50,15,18,500,2,1,732,
V403-21,50,30,12,200,1,1,64,
V403-21,50,30,12,500,3,2,333,
V403-21,50,30,18,200,1,1,43,
V403-21,50,30,18,500,2,1,197,
V403-21,100,15,12,200,0,1,113,
V403-21,100,15,12,500,2,2,507,
V403-21,100,15,18,200,0,1,54,
V403-21,100,15,18,500,0,2,335,
V403-21,100,30,12,200,0,1,34,
V403-21,100,30,12,500,1,1,151,
V403-21,100,30,18,200,0,1,19,
V403-21,100,30,18,500,0,1,78,
V403-25,50,15,12,200,3,2,1226,
V403-25,50,15,12,500,7,4,3364,
V403-25,50,15,18,200,4,1,575,
V403-25,50,15,18,500,4,2,1786,
V403-25,50,30,12,200,3,1,244,
V403-25,50,30,12,500,5,2,1401,
V403-25,50,30,18,200,3,1,129,
V403-25,50,30,18,500,3,1,708,
V403-25,100,15,12,200,2,1,394,
V403-25,100,15,12,500,4,1,1267,
V403-25,100,15,18,200,2,1,186,
V403-25,100,15,18,500,2,2,616,
V403-25,100,30,12,200,2,1,81,
V403-25,100,30,12,500,4,1,522,
V403-25,100,30,18,200,2,1,52,
V403-25,100,30,18,500,2,1,256,
V403-2,50,15,12,200,2,4,151,
V403-2,50,15,12,500,2,4,221,
V403-2,50,15,18,200,1,4,115,
V403-2,50,15,18,500,2,4,154,
V403-2,50,30,12,200,2,4,73,
V403-2,50,30,12,500,2,4,130,
V403-2,50,30,18,200,1,4,60,
V403-2,50,30,18,500,2,4,102,
V403-2,100,15,12,200,0,4,58,
V403-2,100,15,12,500,0,4,80,
V403-2,100,15,18,200,0,4,48,
V403-2,100,15,18,500,0,4,52,
V403-2,100,30,12,200,0,4,29,
V403-2,100,30,12,500,0,4,50,
V403-2,100,30,18,200,0,4,26,
V403-2,100,30,18,500,0,4,39,
V403-3,50,15,12,200,0,0,809,
V403-3,50,15,12,500,0,1,948,
V403-3,50,15,18,200,0,0,880,
V403-3,50,15,18,500,0,0,1096,
V403-3,50,30,12,200,0,0,77,
V403-3,50,30,12,500,0,1,118,
